교과,학년군,영역,성취기준코드,성취기준
수학,3-4학년군,수와 연산,[4수01-09],"양의 등분할을 통하여 분수의 필요성을 인식하고, 분수를 이해하고 읽고 쓸 수 있다."
수학,3-4학년군,수와 연산,[4수01-10],"단위분수, 진분수, 가분수, 대분수를 알고, 그 관계를 이해한다."
수학,3-4학년군,수와 연산,[4수01-11],"분모가 같은 분수끼리, 단위분수끼리 크기를 비교하고 그 방법을 설명할 수 있다."
수학,3-4학년군,수와 연산,[4수01-12],분모가 10인 진분수와 연결하여 소수 한 자리 수를 이해하고 읽고 쓸 수 있다.
수학,3-4학년군,수와 연산,[4수01-13],자릿값의 원리를 바탕으로 소수 두 자리 수와 소수 세 자리 수를 이해하고 읽고 쓸 수 있다.
수학,3-4학년군,수와 연산,[4수01-14],소수의 크기를 비교하고 그 방법을 설명할 수 있다.
수학,3-4학년군,수와 연산,[4수01-15],분모가 같은 분수의 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다.
수학,3-4학년군,수와 연산,[4수01-16],소수 두 자리 수의 범위에서 소수의 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다.
수학,3-4학년군,변화와 관계,[4수02-01],"다양한 변화 규칙을 찾아 설명하고, 그 규칙을 수나 식으로 나타낼 수 있다."
수학,3-4학년군,변화와 관계,[4수02-02],"계산식의 배열에서 규칙을 찾고, 계산 결과를 추측할 수 있다."
수학,3-4학년군,변화와 관계,[4수02-03],등호를 사용하여 크기가 같은 두 양의 관계를 식으로 나타낼 수 있다.
수학,3-4학년군,도형과 측정,[4수03-01],"직선, 선분, 반직선을 이해하고 구별할 수 있다."
수학,3-4학년군,도형과 측정,[4수03-02],"각과 직각을 이해하고, 직각과 비교하는 활동을 통하여 예각과 둔각을 구별할 수 있다."
수학,3-4학년군,도형과 측정,[4수03-03],직선의 수직 관계와 평행 관계를 이해한다.
수학,3-4학년군,도형과 측정,[4수03-04],"구체물이나 평면도형의 밀기, 뒤집기, 돌리기 활동을 통하여 그 변화를 이해한다."
수학,3-4학년군,도형과 측정,[4수03-05],평면에서 점의 이동에 대해 위치와 방향을 이용하여 설명할 수 있다.
수학,3-4학년군,도형과 측정,[4수03-06],"원의 중심, 반지름, 지름을 이해하고, 그 성질을 안다."
수학,3-4학년군,도형과 측정,[4수03-07],컴퍼스를 이용하여 여러 가지 크기의 원을 그릴 수 있다.
수학,3-4학년군,도형과 측정,[4수03-08],"여러 가지 모양의 삼각형에 대한 분류 활동을 통하여 이등변삼각형, 정삼각형을 이해하고, 그 성질을 탐구하고 설명할 수 있다."
수학,3-4학년군,도형과 측정,[4수03-09],"여러 가지 모양의 삼각형에 대한 분류 활동을 통하여 직각삼각형, 예각삼각형, 둔각삼각형을 이해한다."
수학,3-4학년군,도형과 측정,[4수03-10],"여러 가지 모양의 사각형에 대한 분류 활동을 통하여 직사각형, 정사각형, 사다리꼴, 평행사변형, 마름모를 이해하고, 그 성질을 탐구하고 설명할 수 있다."
수학,3-4학년군,도형과 측정,[4수03-11],다각형과 정다각형을 이해한다.
수학,3-4학년군,도형과 측정,[4수03-12],주어진 도형을 이용하여 여러 가지 모양을 만들거나 채우고 설명할 수 있다.
수학,3-4학년군,도형과 측정,[4수03-13],"1분과 1초의 관계를 이해하고, 초 단위까지 시각을 읽을 수 있다."
수학,3-4학년군,도형과 측정,[4수03-14],실생활 문제 상황과 연결하여 초 단위까지의 시간의 덧셈과 뺄셈을 할 수 있다.
수학,3-4학년군,도형과 측정,[4수03-15],"길이 단위 1mm와 1km를 알고, 이를 이용하여 길이를 측정하고 어림하며 수학의 유용성을 인식할 수 있다."
수학,3-4학년군,도형과 측정,[4수03-16],"1cm와 1mm, 1km와 1m의 관계를 이해하고, 길이를 ‘몇 cm 몇 mm’와 ‘몇 mm’, ‘몇 km 몇 m’와 ‘몇 m’로 다양하게 표현할 수 있다."
수학,3-4학년군,도형과 측정,[4수03-17],"들이 단위 1L와 1mL를 알고, 이를 이용하여 들이를 측정하고 어림하며 수학의 유용성을 인식할 수 있다."
수학,3-4학년군,도형과 측정,[4수03-18],"1L와 1mL의 관계를 이해하고, 들이를 ‘몇 L 몇 mL’와 ‘몇 mL’로 표현할 수 있다."
수학,3-4학년군,도형과 측정,[4수03-19],실생활 문제 상황과 연결하여 들이의 덧셈과 뺄셈을 할 수 있다.
수학,3-4학년군,도형과 측정,[4수03-20],"실생활에서 무게를 나타낼 때 사용하는 단위 1g과 1kg을 알고, 이를 이용하여 무게를 측정하고 어림하며 수학의 유용성을 인식할 수 있다."
수학,3-4학년군,도형과 측정,[4수03-21],"1kg과 1g의 관계를 이해하고, 무게를 ‘몇 kg 몇 g’과 ‘몇 g’으로 표현할 수 있다."
수학,3-4학년군,도형과 측정,[4수03-22],"실생활에서 무게를 나타낼 때 사용하는 단위 1t을 알고, 1t과 1kg의 관계를 이해한다."
수학,3-4학년군,도형과 측정,[4수03-23],실생활 문제 상황과 연결하여 무게의 덧셈과 뺄셈을 할 수 있다.
수학,3-4학년군,도형과 측정,[4수03-24],"각의 크기의 단위인 1도(°)를 알고, 각도기를 이용하여 각의 크기를 측정하고 어림할 수 있다."
수학,3-4학년군,도형과 측정,[4수03-25],"여러 가지 방법으로 삼각형과 사각형의 내각의 크기의 합을 추론하고, 자신의 추론 과정을 설명할 수 있다."
수학,3-4학년군,자료와 가능성,[4수04-01],자료를 수집하여 그림그래프나 막대그래프로 나타내고 해석할 수 있다.
수학,3-4학년군,자료와 가능성,[4수04-02],자료를 수집하여 꺾은선그래프로 나타내고 해석할 수 있다.
수학,3-4학년군,자료와 가능성,[4수04-03],"탐구 문제를 해결하기 위해 자료를 수집, 정리하여 막대그래프나 꺾은선그래프로 나타내고 해석할 수 있다."
수학,5-6학년군,수와 연산,[6수01-01],"덧셈, 뺄셈, 곱셈, 나눗셈의 혼합 계산에서 계산하는 순서를 알고, 혼합 계산을 할 수 있다."
수학,5-6학년군,수와 연산,[6수01-02],"실생활과 연결하여 이상, 이하, 초과, 미만의 의미와 쓰임을 알고, 이를 활용하여 수의 범위를 나타낼 수 있다."
수학,5-6학년군,수와 연산,[6수01-03],"어림값을 구하기 위한 방법으로 올림, 버림, 반올림의 의미와 필요성을 알고, 이를 실생활에 활용함으로써 수학의 유용성을 인식할 수 있다."
수학,5-6학년군,수와 연산,[6수01-04],"약수, 공약수, 최대공약수를 이해하고 구할 수 있다."
수학,5-6학년군,수와 연산,[6수01-05],"배수, 공배수, 최소공배수를 이해하고 구할 수 있다."
수학,5-6학년군,수와 연산,[6수01-06],"크기가 같은 분수를 만드는 방법을 이해하고, 분수를 약분, 통분할 수 있다."
수학,5-6학년군,수와 연산,[6수01-07],분모가 다른 분수의 크기를 비교하고 그 방법을 설명할 수 있다.
수학,5-6학년군,수와 연산,[6수01-08],분모가 다른 분수의 덧셈과 뺄셈의 계산 원리를 탐구하고 그 계산을 할 수 있다.
수학,5-6학년군,수와 연산,[6수01-09],분수의 곱셈의 계산 원리를 탐구하고 그 계산을 할 수 있다.
수학,5-6학년군,수와 연산,[6수01-10],‘(자연수)(자연수)’에서 나눗셈의 몫을 분수로 나타낼 수 있다.
수학,5-6학년군,수와 연산,[6수01-11],분수의 나눗셈의 계산 원리를 탐구하고 그 계산을 할 수 있다.
수학,5-6학년군,수와 연산,[6수01-12],분수와 소수의 관계를 이해하고 크기를 비교하며 그 방법을 설명할 수 있다.
수학,5-6학년군,수와 연산,[6수01-13],소수의 곱셈의 계산 원리를 탐구하고 그 계산을 할 수 있다.
수학,5-6학년군,수와 연산,[6수01-14],‘(자연수)(자연수)’에서 나눗셈의 몫을 소수로 나타낼 수 있다.
수학,5-6학년군,수와 연산,[6수01-15],소수의 나눗셈의 계산 원리를 탐구하고 그 계산을 할 수 있다.
수학,5-6학년군,변화와 관계,[6수02-01],"한 양이 변할 때 다른 양이 그에 종속하여 변하는 대응 관계를 나타낸 표에서 규칙을 찾아 설명하고, □, △ 등을 사용하여 식으로 나타낼 수 있다."
수학,5-6학년군,변화와 관계,[6수02-02],"두 양의 크기를 비교하는 상황을 통해 비의 개념을 이해하고, 두 양의 관계를 비로 나타낼 수 있다."
수학,5-6학년군,변화와 관계,[6수02-03],"비율을 이해하고, 비율을 분수, 소수, 백분율로 나타낼 수 있다."
수학,5-6학년군,변화와 관계,[6수02-04],"비례식을 알고, 그 성질을 이해하며, 이를 활용하여 간단한 비례식을 풀 수 있다."
수학,5-6학년군,변화와 관계,[6수02-05],"비례배분을 알고, 주어진 양을 비례배분 할 수 있다."
수학,5-6학년군,도형과 측정,[6수03-01],"도형의 합동을 이해하고, 합동인 도형의 성질을 탐구하고 설명할 수 있다."
수학,5-6학년군,도형과 측정,[6수03-02],실생활과 연결하여 선대칭도형과 점대칭도형을 이해하고 그릴 수 있다.
수학,5-6학년군,도형과 측정,[6수03-03],"직육면체와 정육면체를 이해하고, 구성 요소와 성질을 탐구하고 설명할 수 있다."
수학,5-6학년군,도형과 측정,[6수03-04],직육면체와 정육면체의 겨냥도와 전개도를 그릴 수 있다.
수학,5-6학년군,도형과 측정,[6수03-05],"각기둥과 각뿔을 이해하고, 구성 요소와 성질을 탐구하고 설명할 수 있다."
수학,5-6학년군,도형과 측정,[6수03-06],각기둥의 전개도를 그릴 수 있다.
수학,5-6학년군,도형과 측정,[6수03-07],"원기둥, 원뿔, 구를 이해하고, 구성 요소와 성질을 탐구하고 설명할 수 있다."
수학,5-6학년군,도형과 측정,[6수03-08],원기둥의 전개도를 그릴 수 있다.
수학,5-6학년군,도형과 측정,[6수03-09],쌓기나무로 만든 입체도형을 보고 사용된 쌓기나무의 개수를 구할 수 있다.
수학,5-6학년군,도형과 측정,[6수03-10],"쌓기나무로 만든 입체도형의 위, 앞, 옆에서 본 모양을 표현할 수 있고, 이러한 표현을 보고 입체도형의 모양을 추측할 수 있다."
수학,5-6학년군,도형과 측정,[6수03-11],"평면도형의 둘레를 이해하고, 기본적인 평면도형의 둘레를 구할 수 있다."
수학,5-6학년군,도형과 측정,[6수03-12],"넓이 단위 1cm², 1m², 1km²를 알며, 그 관계를 이해한다."
수학,5-6학년군,도형과 측정,[6수03-13],"직사각형과 정사각형의 넓이를 구하는 방법을 이해하고, 이를 구할 수 있다."
수학,5-6학년군,도형과 측정,[6수03-14],"평행사변형, 삼각형, 사다리꼴, 마름모의 넓이를 구하는 방법을 다양하게 추론하고, 이와 관련된 문제를 해결할 수 있다."
수학,5-6학년군,도형과 측정,[6수03-15],"여러 가지 원 모양 물체의 원주와 지름을 측정하는 활동을 통하여, 원주율이 일정한 값임을 알고 그 근삿값을 사용할 수 있다."
수학,5-6학년군,도형과 측정,[6수03-16],"원주와 원의 넓이를 구하는 방법을 이해하고, 이를 구할 수 있다."
수학,5-6학년군,도형과 측정,[6수03-17],"직육면체와 정육면체의 겉넓이를 구하는 방법을 이해하고, 이를 구할 수 있다."
수학,5-6학년군,도형과 측정,[6수03-18],"부피 단위 1cm³, 1m³를 알며, 그 관계를 이해한다."
수학,5-6학년군,도형과 측정,[6수03-19],"직육면체와 정육면체의 부피를 구하는 방법을 이해하고, 이를 구할 수 있다."
수학,5-6학년군,자료와 가능성,[6수04-01],"평균의 의미를 알고, 자료를 수집하여 평균을 구하고 해석할 수 있다."
수학,5-6학년군,자료와 가능성,[6수04-02],자료를 수집하여 띠그래프나 원그래프로 나타내고 해석할 수 있다.
수학,5-6학년군,자료와 가능성,[6수04-03],"탐구 문제를 설정하고, 그에 맞는 자료를 수집, 정리하여 적절한 그래프로 나타내고 해석할 수 있다."
수학,5-6학년군,자료와 가능성,[6수04-04],사건이 일어날 가능성을 말로 표현하고 비교할 수 있다.
수학,5-6학년군,자료와 가능성,[6수04-05],사건이 일어날 가능성을 수로 나타낼 수 있다.
수학,5-6학년군,자료와 가능성,[6수04-06],"자료를 이용하여 가능성을 예상하고, 가능성에 근거하여 적절한 판단을 내릴 수 있다."
