교과,학년군,영역,성취기준코드,성취기준
과학,3-4학년군,기후변화와 우리 생활,[4과16-02],"기후변화의 심각성에 관심을 가지고, 기후변화가 우리 생활과 환경에 미치는 영향을 설명할 수 있다."
과학,3-4학년군,기후변화와 우리 생활,[4과16-03],"기후변화 대응 방법을 조사하고, 생활 속에서 기후변화 대응 방법을 실천할 수 있다."
과학,5-6학년군,지층과 화석,[6과01-01],"지층의 특징을 알고, 지층의 형성 과정을 모형으로 표현할 수 있다."
과학,5-6학년군,지층과 화석,[6과01-02],"지층이 퇴적암으로 이루어짐을 알고, 퇴적암을 알갱이의 크기에 따라 분류할 수 있다."
과학,5-6학년군,지층과 화석,[6과01-03],"화석의 생성 과정을 모형으로 설명하고, 지구의 과거 생물과 환경을 추리하는 활동을 통해 화석의 가치를 인식할 수 있다."
과학,5-6학년군,빛의 성질,[6과02-01],"물체를 보기 위해서 빛이 있어야 함을 알고, 빛의 성질에 대해 흥미를 느낄 수 있다."
과학,5-6학년군,빛의 성질,[6과02-02],"빛이 나아가는 현상을 관찰하여 빛이 직진, 반사, 굴절하는 성질이 있음을 말할 수 있다."
과학,5-6학년군,빛의 성질,[6과02-03],거울과 렌즈의 쓰임새를 조사하고 거울이나 렌즈를 이용한 장치를 창의적으로 만들 수 있다.
과학,5-6학년군,용해와 용액,[6과03-01],"용해 현상의 의미를 알고, 용질의 종류와 물의 온도에 따라 물에 녹는 용질의 양이 달라짐을 비교할 수 있다."
과학,5-6학년군,용해와 용액,[6과03-02],"용질이나 용매의 양에 따라 용액의 진하기가 달라짐을 관찰하고, 용액의 상대적인 진하기를 비교할 수 있다."
과학,5-6학년군,용해와 용액,[6과03-03],일상생활에서 용액이 쓰이는 사례를 조사하여 용액의 필요성을 알리는 자료를 만들고 공유할 수 있다.
과학,5-6학년군,우리 몸의 구조와 기능,[6과04-01],뼈와 근육의 생김새를 관찰하고 모형을 만들어 몸이 움직이는 원리를 설명할 수 있다.
과학,5-6학년군,우리 몸의 구조와 기능,[6과04-02],"소화, 순환, 호흡, 배설 기관의 구조와 기능을 알아보고, 우리 몸의 여러 기관이 서로 관련되어 있음을 설명할 수 있다."
과학,5-6학년군,우리 몸의 구조와 기능,[6과04-03],"우리 몸의 여러 기관과 관련된 질병을 조사하고, 건강을 유지하기 위한 생활 방식을 실천할 수 있다."
과학,5-6학년군,혼합물의 분리,[6과05-01],알갱이의 크기가 다른 고체 혼합물과 골고루 섞이지 않는 액체 혼합물을 분리할 수 있다.
과학,5-6학년군,혼합물의 분리,[6과05-02],"물에 용해되는 성질을 이용하여 고체 혼합물을 분리하고, 물을 증발시켜 물에 용해된 고체 물질을 분리할 수 있다."
과학,5-6학년군,혼합물의 분리,[6과05-03],지속가능한 삶을 위한 과학기술 사례 중 혼합물의 분리를 이용한 장치를 조사하여 공유할 수 있다.
과학,5-6학년군,날씨와 우리 생활,[6과06-01],"기상 요소를 조사하고, 날씨가 우리 생활에 주는 영향을 인식할 수 있다."
과학,5-6학년군,날씨와 우리 생활,[6과06-02],"이슬, 안개, 구름을 관찰하고, 공통점과 차이점을 찾을 수 있다."
과학,5-6학년군,날씨와 우리 생활,[6과06-03],고기압과 저기압의 분포에 따른 날씨의 특징을 기상 요소로 표현할 수 있다.
과학,5-6학년군,열과 우리 생활,[6과07-01],"물체의 따뜻하고 차가운 정도를 온도로 표현함을 알고, 온도계를 이용하여 온도를 측정할 수 있다."
과학,5-6학년군,열과 우리 생활,[6과07-02],온도가 다른 두 물체가 접촉했을 때 두 물체의 온도 변화를 관찰하고 그 원인을 추리할 수 있다.
과학,5-6학년군,열과 우리 생활,[6과07-03],주위에서 열의 이동으로 나타나는 현상을 관찰하여 열의 이동 방식이 다양함을 설명할 수 있다.
과학,5-6학년군,열과 우리 생활,[6과07-04],"일상생활에서 단열을 이용하는 사례를 조사하고, 온도를 오랫동안 일정하게 유지할 수 있는 장치를 창의적으로 만들 수 있다."
과학,5-6학년군,자원과 에너지,[6과08-01],"우리가 생활에서 이용하는 다양한 자원을 조사하고, 자원의 유한함을 설명할 수 있다."
과학,5-6학년군,자원과 에너지,[6과08-02],"재생에너지의 종류를 조사하고, 에너지를 지속가능하게 이용하는 방법에 관심을 갖는다."
과학,5-6학년군,자원과 에너지,[6과08-03],"자원과 에너지의 효율적인 이용 방법에 대해 탐색하고, 생활 속에서 실천할 수 있는 다양한 사례를 공유할 수 있다."
과학,5-6학년군,산과 염기,[6과09-01],여러 가지 용액에 지시약을 넣었을 때의 변화를 관찰하여 용액을 산성 용액과 염기성 용액으로 분류할 수 있다.
과학,5-6학년군,산과 염기,[6과09-02],"산성 용액과 염기성 용액의 성질을 관찰하고, 산성 용액과 염기성 용액을 섞을 때 용액의 성질 변화를 실험을 통해 추론할 수 있다."
과학,5-6학년군,산과 염기,[6과09-03],우리 주변에서 산성 용액과 염기성 용액을 이용하는 예를 찾아서 설명할 수 있다.
과학,5-6학년군,산과 염기,[6과09-04],산성화로 인한 환경의 피해 사례를 소개하는 자료를 만들고 공유할 수 있다.
과학,5-6학년군,물체의 운동,[6과10-01],운동하는 물체는 시간에 따라 위치가 변화함을 알고 그 변화를 표현할 수 있다.
과학,5-6학년군,물체의 운동,[6과10-02],물체의 이동 거리와 걸린 시간을 측정하여 속력을 구하고 빠르기를 비교할 수 있다.
과학,5-6학년군,물체의 운동,[6과10-03],속력과 관련된 안전 수칙과 안전장치를 조사한 결과를 공유하고 일상생활에서 교통안전을 실천할 수 있다.
과학,5-6학년군,식물의 구조와 기능,[6과11-01],생물을 이루고 있는 기본 단위인 세포를 현미경으로 관찰할 수 있다.
과학,5-6학년군,식물의 구조와 기능,[6과11-02],"식물의 각 기관의 구조를 관찰하고, 기능을 알아보는 실험을 수행하여 식물 각 기관의 구조와 기능을 설명할 수 있다."
과학,5-6학년군,식물의 구조와 기능,[6과11-03],여러 가지 식물의 특징을 설명하는 자료를 만들어 공유할 수 있다.
과학,5-6학년군,지구의 운동,[6과12-01],하루 동안 태양과 별을 관찰하여 위치 변화의 규칙성을 찾을 수 있다.
과학,5-6학년군,지구의 운동,[6과12-02],"지구의 자전을 알고, 낮과 밤이 생기는 이유를 설명할 수 있다."
과학,5-6학년군,지구의 운동,[6과12-03],"지구의 공전을 알고, 계절에 따라 달라지는 별자리를 관찰할 수 있다."
과학,5-6학년군,계절의 변화,[6과13-01],"태양 고도 측정기로 하루 동안 태양 고도, 그림자 길이, 기온을 측정하여 이들의 관계를 찾을 수 있다."
과학,5-6학년군,계절의 변화,[6과13-02],계절에 따른 태양의 남중 고도와 낮의 길이 사이의 관계를 자료에 근거하여 추론할 수 있다.
과학,5-6학년군,계절의 변화,[6과13-03],계절 변화의 원인을 지구의 자전축이 기울어진 채 공전하는 것으로 설명할 수 있다.
과학,5-6학년군,물질의 연소,[6과14-01],물질의 성질이 달라지는 변화와 달라지지 않는 변화를 관찰하여 비교할 수 있다.
과학,5-6학년군,물질의 연소,[6과14-02],"물질이 연소할 때 나타나는 공통적인 현상을 관찰하고, 연소의 조건을 찾을 수 있다."
과학,5-6학년군,물질의 연소,[6과14-03],연소 전과 후의 물질을 비교하여 연소 과정에서 물질의 성질이 달라짐을 설명할 수 있다.
과학,5-6학년군,물질의 연소,[6과14-04],연소 과정에서 생성되는 물질로 인한 생태계의 피해 사례를 수집하고 분석하여 해결책을 제안하고 공유할 수 있다.
과학,5-6학년군,전기의 이용,[6과15-01],"전지와 전구, 전선을 연결하여 전구에 불을 켜보고, 불이 켜지는 전기 회로의 특징을 말할 수 있다."
과학,5-6학년군,전기의 이용,[6과15-02],전지 한 개를 연결한 전기 회로와 전지 두 개를 직렬연결한 전기 회로의 특징을 비교할 수 있다.
과학,5-6학년군,전기의 이용,[6과15-03],전자석을 만들어 전자석의 성질을 탐색하고 전자석이 사용되는 예를 조사할 수 있다.
과학,5-6학년군,전기의 이용,[6과15-04],전기를 효율적이고 안전하게 사용하는 방법을 조사하여 실천 계획을 세우고 일상생활에서 실천할 수 있다.
과학,5-6학년군,과학과 나의 진로,[6과16-01],"미래 사회에 일어날 수 있는 문제를 조사하고, 문제를 해결하는 데 과학이 기여할 수 있는 방법을 토의할 수 있다."
과학,5-6학년군,과학과 나의 진로,[6과16-02],"다양한 진로가 과학과 관련됨을 알고, 자신의 진로를 과학과 관련지어 설명할 수 있다."
